match_id,fraction of match covered by td exclusion zone,pearson_correlation,fraction of match covered by td injection,distance,dice_coefficient,spearman_correlation,injection_overlap,image_series_id,source,exclusion_zone_overlap,td_secondary_source,td_percent_secondary,td_injection_size,td_primary_source,td_percent_primary,match_secondary_source,match_percent_secondary,match_injection_size,match_primary_source,match_percent_primary,Virus,same_primary,same_secondary,<60% primary,same secondary for <60% primary,injection_size_ratio
483094671,0,0.654382572,0,1856.139402,0,0.460150067,0,528328648,ENTl,0,ENTm,0.28596866,0.002074558,ENTl,0.693257171,VISpor,0.2936075,0.001135981,ENTl,0.522578443,EGFP,TRUE,FALSE,TRUE,FALSE,0.547577334
523704892,0.906299863,0.969641563,0.361480864,93.25315419,0.408070703,0.694529354,0.406973315,528328648,ENTl,0.133766078,ENTm,0.28596866,0.002074558,ENTl,0.693257171,ENTm,0.180853767,0.001991416,ENTl,0.819146257,EGFP,TRUE,TRUE,FALSE,,0.959923331
525413115,0,0.83871005,0,1372.777015,0,0.444479008,0,528328648,ENTl,0,ENTm,0.28596866,0.002074558,ENTl,0.693257171,PERI,0.135804168,0.001018406,ENTl,0.694139877,EGFP,TRUE,FALSE,FALSE,,0.490902768
522274859,0,0.739780369,0,1410.224419,0,0.639405357,0,528328648,ENTl,0,ENTm,0.28596866,0.002074558,ENTl,0.693257171,VISpor,0.252765995,0.002967214,ENTl,0.718335287,EGFP,TRUE,FALSE,FALSE,,1.430287364
539514325,0.002376394,0.985976355,0,671.75261,0,0.58011732,0,515920693,VISp,0.000476665,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,fiber tracts,0.082251801,0.019161168,VISp,0.888103361,EGFP,TRUE,TRUE,FALSE,,8.679958986
495346667,0.257486417,0.987287473,0.006153867,527.8335173,0.011488932,0.653918073,0.029907881,515920693,VISp,0.048549967,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,fiber tracts,0.010144082,0.030367226,VISp,0.989855894,EGFP,TRUE,TRUE,FALSE,,13.75627363
543297033,0,0.950065309,0,877.3896639,0,0.597547937,0,515920693,VISp,0,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,VISl,0.104523597,0.006322057,VISp,0.88173169,EGFP,TRUE,FALSE,FALSE,,2.863875327
501837158,0.962701638,0.970660642,0.314960509,214.4962346,0.199957876,0.432730501,0.144593212,515920693,VISp,0.051758936,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,fiber tracts,0.043579447,0.001035779,VISp,0.956420522,EGFP,TRUE,TRUE,FALSE,,0.469205066
539323512,0.004340489,0.883563617,0,845.1185357,0,0.467442126,0,515920693,VISp,0.000107156,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,VISrl,0.146261965,0.001631038,VISp,0.743380988,EGFP,TRUE,FALSE,FALSE,,0.738856095
485553574,0.981197292,0.985750767,0.145241586,202.0920538,0.173678374,0.658741576,0.178516694,515920693,VISp,0.100161937,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,fiber tracts,0.050589417,0.002349125,VISp,0.949410609,EGFP,TRUE,TRUE,FALSE,,1.064147502
526784559,0.837203598,0.980883366,0.213836871,313.569259,0.130832771,0.729691006,0.08749702,515920693,VISp,0.045702307,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,fiber tracts,0.145143309,0.000780644,VISp,0.854856654,EGFP,TRUE,TRUE,FALSE,,0.353629841
563205064,0.050304759,0.982146026,0.000445659,596.5763636,0.002366384,0.635727415,0.023567381,515920693,VISp,0.014061031,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,fiber tracts,0.023653324,0.041197392,VISp,0.976346622,EGFP,TRUE,TRUE,FALSE,,18.66231053
539511058,0.851342011,0.974801983,0.295942963,161.1438456,0.524657434,0.674902331,0.353638302,515920693,VISp,0.041255591,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,fiber tracts,0.023785228,0.00072969,VISp,0.976214739,EGFP,TRUE,TRUE,FALSE,,0.330547834
574637452,0.987766143,0.992509159,0.299179442,237.6838944,0.524915736,0.664996872,0.343451836,515920693,VISp,0.145035626,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,fiber tracts,0.031010806,0.015745487,VISp,0.968989065,EGFP,TRUE,TRUE,FALSE,,7.132664458
501786400,0.931244219,0.97892937,0.153909128,232.5382339,0.300751492,0.750540385,0.469895547,515920693,VISp,0.343564287,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,fiber tracts,0.04250705,0.093047354,VISp,0.957270709,EGFP,TRUE,TRUE,FALSE,,42.15020762
501787135,1,0.991212888,0.295404272,134.9445851,0.496042084,0.726761306,0.337785558,515920693,VISp,0.121259754,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,fiber tracts,6.49E-07,0.011434548,VISp,0.999999381,EGFP,TRUE,TRUE,FALSE,,5.179820325
561918904,0.000954412,0.934566272,0,621.2967677,0,0.602090073,0,515920693,VISp,0.000202071,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,fiber tracts,0.047148814,0.047368496,VISp,0.945203793,EGFP,TRUE,TRUE,FALSE,,21.45780451
502592260,0.919776794,0.990636578,0.277966858,249.8734067,0.356304485,0.674598003,0.478102453,515920693,VISp,0.112675149,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,fiber tracts,0.034770673,0.003795706,VISp,0.96522933,EGFP,TRUE,TRUE,FALSE,,1.719445001
561918178,0.469821284,0.992763556,0.044737274,300.2269475,0.086492619,0.682796601,0.222034654,515920693,VISp,0.111311878,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,fiber tracts,0.025417711,0.063352198,VISp,0.974582314,EGFP,TRUE,TRUE,FALSE,,28.69837961
563352720,0.989026524,0.98275838,0.456939032,137.8951143,0.627785142,0.679116382,0.465809855,515920693,VISp,0.070733753,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,,,0.004823735,VISp,1.000000026,EGFP,TRUE,FALSE,FALSE,,2.185139389
546389260,0.994278592,0.989363593,0.174430684,109.0166658,0.340913907,0.677016735,0.864561137,515920693,VISp,0.504189329,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,fiber tracts,0.010187038,0.09366351,VISp,0.989813012,EGFP,TRUE,TRUE,FALSE,,42.4293244
501711996,0.977689273,0.984034408,0.132683132,202.9599808,0.259374901,0.681491728,0.631177095,515920693,VISp,0.404945244,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,fiber tracts,0.002026975,0.094308301,VISp,0.997950243,EGFP,TRUE,TRUE,FALSE,,42.72141303
565146821,0.898437438,0.986532933,0.151640781,285.1078341,0.290496912,0.670401156,0.342196061,515920693,VISp,0.225546877,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,fiber tracts,0.081840841,0.049445047,VISp,0.915788815,EGFP,TRUE,TRUE,FALSE,,22.39847685
518013943,0.665012468,0.864723613,0.218122135,358.7900722,0.029305896,0.710125338,0.014784013,502956560,VISl,0.024704254,VISp,0.364301148,0.018613443,VISl,0.628339383,VISp,0.458724582,0.001331623,VISl,0.491461402,EGFP,TRUE,TRUE,TRUE,TRUE,0.071540918
571653937,0.039627448,0.896865863,0,750.674358,0,0.740164244,0,502956560,VISl,0.010674435,VISp,0.364301148,0.018613443,VISl,0.628339383,VISp,0.430553523,0.020645435,VISl,0.560827007,EGFP,TRUE,TRUE,TRUE,TRUE,1.109167985
501785691,0.769501592,0.922340442,0.2668905,274.8677666,0.368750733,0.834964208,0.314787937,502956560,VISl,0.119527892,VISp,0.364301148,0.018613443,VISl,0.628339383,fiber tracts,0.020595646,0.013218176,VISl,0.978059667,EGFP,TRUE,FALSE,FALSE,,0.710141407
502590301,0.880479843,0.977508885,0.339060239,278.0446194,0.43097844,0.823819112,0.36758644,502956560,VISl,0.164049933,VISp,0.364301148,0.018613443,VISl,0.628339383,fiber tracts,0.047884497,0.032549169,VISl,0.946980306,EGFP,TRUE,FALSE,FALSE,,1.748691496
502955689,0.141684442,0.944229356,0.002965329,665.982507,0.005116604,0.765695023,0.003648165,502956560,VISl,0.065865652,VISp,0.364301148,0.018613443,VISl,0.628339383,VISp,0.126822222,0.117393436,VISl,0.872415492,EGFP,TRUE,TRUE,FALSE,,6.306916903
552543088,0.688195899,0.938020032,0.332705561,237.8422388,0.435503038,0.760174152,0.298151213,502956560,VISl,0.080708513,VISp,0.364301148,0.018613443,VISl,0.628339383,VISpl,0.018246514,0.006922854,VISl,0.951920645,EGFP,TRUE,FALSE,FALSE,,0.371927627
553080579,0.560622876,0.845762476,0.208400986,405.8847295,0.200884629,0.703918976,0.123121739,502956560,VISl,0.101482316,VISp,0.364301148,0.018613443,VISl,0.628339383,fiber tracts,0.078489831,0.004090839,VISl,0.811135339,EGFP,TRUE,FALSE,FALSE,,0.219778732
531397136,0.687892023,0.96390773,0.213446691,407.8776137,0.231181867,0.803631003,0.162876591,502956560,VISl,0.061906979,VISp,0.364301148,0.018613443,VISl,0.628339383,fiber tracts,0.004846786,0.007766423,VISl,0.99218972,EGFP,TRUE,FALSE,FALSE,,0.417248061
504176074,0.961821572,0.958155473,0.373133256,173.9918464,0.658414114,0.811046824,0.886824135,502956560,VISl,0.505432235,VISp,0.364301148,0.018613443,VISl,0.628339383,VISp,0.126905636,0.139953614,VISl,0.867706638,EGFP,TRUE,TRUE,FALSE,,7.518953747
501883865,0.526821019,0.920683562,0.082417907,431.9632946,0.146638234,0.779101163,0.290055264,502956560,VISl,0.26911177,VISp,0.364301148,0.018613443,VISl,0.628339383,VISp,0.368520735,0.150776802,VISl,0.622536868,EGFP,TRUE,TRUE,FALSE,,8.100425367
523180728,0.159528351,0.924777843,0,629.0470484,0,0.760705955,0,502956560,VISl,0.026047612,VISp,0.364301148,0.018613443,VISl,0.628339383,VISp,0.285749478,0.039337332,VISl,0.710372353,EGFP,TRUE,TRUE,FALSE,,2.113382957
572388976,0.012365524,0.934242321,0,774.2762691,0,0.694961032,0,502956560,VISl,0.003300683,VISp,0.364301148,0.018613443,VISl,0.628339383,fiber tracts,0.004659561,0.005170764,VISl,0.99058881,EGFP,TRUE,FALSE,FALSE,,0.277797306
560965104,0.175813231,0.905151409,0.003774138,642.7019607,0.004816978,0.75014244,0.003865489,502956560,VISl,0.057810057,VISp,0.364301148,0.018613443,VISl,0.628339383,VISp,0.156174203,0.032904926,VISl,0.841613813,EGFP,TRUE,TRUE,FALSE,,1.767804412
539514325,0,0.870708405,0,1293.198412,0,0.719556909,0,539323512,VISp,0,VISrl,0.146261965,0.001631038,VISp,0.743380988,fiber tracts,0.082251801,0.019161168,VISp,0.888103361,EGFP,TRUE,FALSE,FALSE,,11.74783431
495346667,0,0.884058517,0,1290.827381,0,0.648466003,0,539323512,VISp,0,VISrl,0.146261965,0.001631038,VISp,0.743380988,fiber tracts,0.010144082,0.030367226,VISp,0.989855894,EGFP,TRUE,FALSE,FALSE,,18.61833951
543297033,0,0.859894076,0,914.2418109,0,0.755364247,0,539323512,VISp,0,VISrl,0.146261965,0.001631038,VISp,0.743380988,VISl,0.104523597,0.006322057,VISp,0.88173169,EGFP,TRUE,FALSE,FALSE,,3.876093525
501837158,0,0.894858359,0,1033.460866,0,0.641775514,0,539323512,VISp,0,VISrl,0.146261965,0.001631038,VISp,0.743380988,fiber tracts,0.043579447,0.001035779,VISp,0.956420522,EGFP,TRUE,FALSE,FALSE,,0.63504256
485553574,0.001622956,0.889812589,0,861.0355253,0,0.676491009,0,539323512,VISp,2.59E-05,VISrl,0.146261965,0.001631038,VISp,0.743380988,fiber tracts,0.050589417,0.002349125,VISp,0.949410609,EGFP,TRUE,FALSE,FALSE,,1.440263549
526784559,0,0.878627626,0,928.4860018,0,0.527807419,0,539323512,VISp,0,VISrl,0.146261965,0.001631038,VISp,0.743380988,fiber tracts,0.145143309,0.000780644,VISp,0.854856654,EGFP,TRUE,FALSE,FALSE,,0.478618019
563205064,0.882579075,0.918720961,0.138571629,255.6113256,0.267370277,0.827598105,0.318122716,539323512,VISp,0.268908027,VISrl,0.146261965,0.001631038,VISp,0.743380988,fiber tracts,0.023653324,0.041197392,VISp,0.976346622,EGFP,TRUE,FALSE,FALSE,,25.2583834
539511058,0.006559465,0.894050371,0,760.4512477,0,0.572716893,0,539323512,VISp,5.07E-05,VISrl,0.146261965,0.001631038,VISp,0.743380988,fiber tracts,0.023785228,0.00072969,VISp,0.976214739,EGFP,TRUE,FALSE,FALSE,,0.447377827
574637452,0,0.888601897,0.001687887,1072.75278,0.003077973,0.764764803,0.011376415,539323512,VISp,0,VISrl,0.146261965,0.001631038,VISp,0.743380988,fiber tracts,0.031010806,0.015745487,VISp,0.968989065,EGFP,TRUE,FALSE,FALSE,,9.653658545
501786400,0,0.861641843,0,1045.451666,0,0.692054189,0,539323512,VISp,0,VISrl,0.146261965,0.001631038,VISp,0.743380988,fiber tracts,0.04250705,0.093047354,VISp,0.957270709,EGFP,TRUE,FALSE,FALSE,,57.04792568
501787135,0,0.881226709,0,932.4214775,0,0.591950514,0,539323512,VISp,0,VISrl,0.146261965,0.001631038,VISp,0.743380988,fiber tracts,6.49E-07,0.011434548,VISp,0.999999381,EGFP,TRUE,FALSE,FALSE,,7.010594292
561918904,0.115110606,0.888429759,1.03E-06,584.5634403,2.00E-06,0.788507415,1.88E-05,539323512,VISp,0.022154258,VISrl,0.146261965,0.001631038,VISp,0.743380988,fiber tracts,0.047148814,0.047368496,VISp,0.945203793,EGFP,TRUE,FALSE,FALSE,,29.04192663
502592260,0.005827109,0.880556297,2.62E-11,717.5563634,0.000795595,0.701153817,0.001424534,539323512,VISp,0.000617007,VISrl,0.146261965,0.001631038,VISp,0.743380988,fiber tracts,0.034770673,0.003795706,VISp,0.96522933,EGFP,TRUE,FALSE,FALSE,,2.327171707
515920693,0,0.883563617,0,845.1185357,0,0.467442126,0,539323512,VISp,0,VISrl,0.146261965,0.001631038,VISp,0.743380988,fiber tracts,0.037697801,0.002207518,VISp,0.962302171,EGFP,TRUE,FALSE,FALSE,,1.353443528
561918178,0.013834371,0.895046922,0.000970358,731.8813771,0.001895525,0.693925897,0.002952216,539323512,VISp,0.005383969,VISrl,0.146261965,0.001631038,VISp,0.743380988,fiber tracts,0.025417711,0.063352198,VISp,0.974582314,EGFP,TRUE,FALSE,FALSE,,38.84163614
563352720,0.011111102,0.860547878,7.16E-05,742.1710541,0.000108945,0.672515794,4.04E-06,539323512,VISp,0.001183229,VISrl,0.146261965,0.001631038,VISp,0.743380988,,,0.004823735,VISp,1.000000026,EGFP,TRUE,FALSE,FALSE,,2.957462762
546389260,8.23E-05,0.894788717,0.000234945,949.7435716,0.000462435,0.767946141,0.001200618,539323512,VISp,0.000219379,VISrl,0.146261965,0.001631038,VISp,0.743380988,fiber tracts,0.010187038,0.09366351,VISp,0.989813012,EGFP,TRUE,FALSE,FALSE,,57.42569448
501711996,0,0.888209728,0,1029.629922,0,0.663540816,0,539323512,VISp,0,VISrl,0.146261965,0.001631038,VISp,0.743380988,fiber tracts,0.002026975,0.094308301,VISp,0.997950243,EGFP,TRUE,FALSE,FALSE,,57.82101995
565146821,0,0.889938355,0,1087.329001,0,0.647302829,0,539323512,VISp,0,VISrl,0.146261965,0.001631038,VISp,0.743380988,fiber tracts,0.081840841,0.049445047,VISp,0.915788815,EGFP,TRUE,FALSE,FALSE,,30.31507352
572595932,0.680810197,0.568945205,0.110425389,367.0957767,0.132869224,0.743009143,0.157664697,573331541,RSPagl,0.130694667,fiber tracts,0.45487372,0.002473105,RSPagl,0.516794046,fiber tracts,0.280244425,0.0034789,RSPagl,0.54571759,EGFP,TRUE,TRUE,TRUE,TRUE,1.40669318
595259180,0,0.784201043,0,988.2078304,0,0.640975053,0,573331541,RSPagl,0,fiber tracts,0.45487372,0.002473105,RSPagl,0.516794046,RSPd,0.19868091,0.00097722,RSPagl,0.647632153,EGFP,TRUE,FALSE,TRUE,FALSE,0.3951388
