sum_NPV_A,sum_NPV_B,dice_coefficient,pearson_correlation,match_A,fraction of match covered by td injection,absolute_overlap,distance,absolute_overlap_lg_over_small,spearman_correlation,injection_overlap,source,match_B,match_A_secondary_source,match_B_secondary_source,match_A_percent_secondary,match_B_percent_secondary,match_A_injection_size,match_B_injection_size,match_A_primary_source,match_B_primary_source,match_A_percent_primary,match_B_percent_primary,transgenic_line_A,transgenic_line_B,Virus_A,Virus_B,same_primary,same_secondary,<60% primary,same secondary for <60% primary,index_original,log_inj_size,log_ol,exp_predicted,low_pred_band,high_pred_band,sig
5.236151147,8.285990944,0.151816489,0.7744892520000001,503809372,0.078190222,2474.78366,620.1612693,951.4782025000001,0.8570221929999999,0.999980977,VISp,598605738,,VISrl,,0.124840207,0.016397721,0.545316962,VISp,VISp,0.999999946,0.687096989,Rbp4-Cre_KL100,Emx1-IRES-Cre,SypEGFP,SypEGFP,True,False,False,,2640,-1.7852165071901462,-0.8186810565511412,0.7647971065944564,0.6904661166374603,0.8391280965514526,False
5.343008855,8.285990944,0.155924074,0.958182401,503809372,0.09672541,382.4018162,310.0,303.4563122,0.8061735640000001,0.318925372,VISp,277616630,,fiber tracts,,0.00071247,0.016397721,0.068120863,VISp,VISp,0.999999946,0.999287525,Rbp4-Cre_KL100,,SypEGFP,EGFP,True,False,False,,1300,-1.7852165071901462,-0.8070868264519753,0.7757379908923171,0.7014611444100276,0.8500148373746066,False
8.285990944,5.597686345,0.233291355,0.9661178,503809372,0.12572123300000002,844.1603167000002,278.9265136,1537.486099,0.974468698,0.8871924290000001,VISp,501004474,,fiber tracts,,0.036666916,0.016397721,0.21091934399999998,VISp,VISp,0.999999946,0.962625588,Rbp4-Cre_KL100,Emx1-IRES-Cre,SypEGFP,SypEGFP,True,False,False,,3161,-1.7852165071901462,-0.6321013544139601,0.7801987142088361,0.7059218677265466,0.8544755606911256,False
3.487714313,8.285990944,0.186684574,0.95358042,503809372,0.13296449,298.0455153,304.95901360000005,227.4945577,0.786528118,0.239091373,VISp,277712166,,fiber tracts,,0.009640985999999999,0.016397721,0.038715358,VISp,VISp,0.999999946,0.990358987,Rbp4-Cre_KL100,,SypEGFP,EGFP,True,False,False,,1153,-1.7852165071901462,-0.7288915669114551,0.7772577832412066,0.7029809367589172,0.8515346297234961,False
9.959146227,8.285990944,0.196093823,0.970686688,503809372,0.101983205,2417.031112,703.8465742000001,951.3689906999999,0.8918936120000001,0.999866198,VISp,113887162,,VISrl,,0.043302248,0.016397721,0.40784381700000005,VISp,VISp,0.999999946,0.9550292359999999,Rbp4-Cre_KL100,,SypEGFP,EGFP,True,False,False,,350,-1.7852165071901462,-0.7075360864916556,0.7638294433341086,0.6894676340234165,0.8381912526448008,False
8.285990944,16.11125679,0.600125848,0.981351731,503809372,0.370161898,890.4821762,275.317998,1507.646391,0.908149869,0.935875603,VISp,562061175,,fiber tracts,,0.07754278,0.016397721,0.070026351,VISp,VISp,0.999999946,0.922457207,Rbp4-Cre_KL100,Emx1-IRES-Cre,SypEGFP,EGFP,True,False,False,,3162,-1.7852165071901462,-0.2217576673481926,0.7963624219218505,0.7219750298047857,0.8707498140389153,False
3.8642544219999997,8.285990944,0.238333851,0.918951532,503809372,0.155830319,481.9279739,505.27220389999997,289.7521859,0.65401637,0.30452266100000003,VISp,277713580,,fiber tracts,,0.0033213270000000002,0.016397721,0.052402585,VISp,VISp,0.999999946,0.996678677,Rbp4-Cre_KL100,,SypEGFP,EGFP,True,False,False,,1717,-1.7852165071901462,-0.6228142696198434,0.7725659330262997,0.6982709228828858,0.8468609431697136,True
6.169882556,8.285990944,0.21550662899999998,0.968224375,503809372,0.139710287,448.2295622,312.0897307,283.6663569,0.865354376,0.298126599,VISp,277714322,,fiber tracts,,0.004326424000000001,0.016397721,0.054924325,VISp,VISp,0.999999946,0.995673488,Rbp4-Cre_KL100,,SypEGFP,EGFP,True,False,False,,1372,-1.7852165071901462,-0.6665393663670923,0.7782705170588468,0.7039936705765573,0.8525473635411362,False
8.285990944,5.435839343,0.440018701,0.9710768809999999,503809372,0.43156026399999997,333.7269149,428.7190222,427.04612819999994,0.748433143,0.350739056,VISp,183173527,,,,,0.016397721,0.017167988999999998,VISp,VISp,0.999999946,0.9999999909999999,Rbp4-Cre_KL100,Rbp4-Cre_KL100,SypEGFP,EGFP,True,False,False,,3177,-1.7852165071901462,-0.3565288654035518,0.7840399456906635,0.7097498051292424,0.8583300862520846,False
6.169882556,5.435839343,0.27570180899999996,0.976721919,183173527,0.18036871100000001,578.6731227000001,503.189825,153.6478199,0.8689688809999999,0.15527197,VISp,277714322,,fiber tracts,,0.004326424000000001,0.017167988999999998,0.054924325,VISp,VISp,0.9999999909999999,0.995673488,Rbp4-Cre_KL100,,EGFP,EGFP,True,False,False,,1404,-1.765280573642385,-0.5595603842890747,0.7762583740022608,0.7019639483422925,0.8505527996622292,False
