image_series_id,specimen_name,sex,age_at_CAV_injection,age_at_AAV_injection,injection_structures,injection_volume,primary_injection_structure,source,structure_id,target_by_polygon,include,exclusion reason,cortical_projection_view,experiment_detail_page,injection_dmn_fraction,projection_dmn_fraction,distance_coefficient,DMN_coefficient,CAV_percent_DMN,WT_matches,TD_matches,injection_matched_group
475616128,Ai75(T503)-175403,F,58,58,"[44, 48, 814, 972]",0.133703448,44,ILA,44,PL,no,source/target overlap,http://connectivity.brain-map.org/projection/experiment/cortical_map/475616128,http://connectivity.brain-map.org/projection/experiment/475616128,,,,,97.07135299,[nan],[nan],[nan]
475616836,Ai75(RCL-nT)-176763,F,54,54,"[104, 119, 583]",0.028488166,104,AIv,119,PL,yes,,http://connectivity.brain-map.org/projection/experiment/cortical_map/475616836,http://connectivity.brain-map.org/projection/experiment/475616836,0.987364603,0.565523276,-0.004178469,0.011364085,91.44028175,[nan],[nan],[nan]
475617622,Ai75(T503)-181273,F,57,57,"[44, 731, 746]",0.024242432,44,ORBm,731,RSPd,yes,,http://connectivity.brain-map.org/projection/experiment/cortical_map/475617622,http://connectivity.brain-map.org/projection/experiment/475617622,0.996612721,0.841892118,-0.002037871,0.047260057,99.65328966,"[478582494, 126860974]",[nan],[nan]
475733382,Ai75(RCL-nT)-175992,F,58,58,[48],0.030775832,48,ACAv,48,ORBvl,yes,,http://connectivity.brain-map.org/projection/experiment/cortical_map/475733382,http://connectivity.brain-map.org/projection/experiment/475733382,1,0.960935448,-0.002402755,0.029791795,98.37251624,"[286482701, 161458737]","[528511254, 569932566, 623286726]",[nan]
475828414,Ai75(T503)-176840,M,53,53,[886],0.006795305,886,RSPv,886,MOs,yes,,http://connectivity.brain-map.org/projection/experiment/cortical_map/475828414,http://connectivity.brain-map.org/projection/experiment/475828414,1,0.915411182,-0.002608083,0.001505449,99.65911166,"[100148142, 100140949, 159832064]","[475830603, 561512675, 616674416]",[nan]
475829896,Ai75(RCL-nT)-176762,M,54,54,"[39, 48, 993]",0.055738627,39,ACAd,39,MOp,yes,,http://connectivity.brain-map.org/projection/experiment/cortical_map/475829896,http://connectivity.brain-map.org/projection/experiment/475829896,0.996743224,0.908366342,-0.003207304,0.038284033,100,"[125833030, 139426984, 526783054, 478491090, 478376911, 496576666, 146593590]","[528741104, 571401645, 607059419, 607321130, 609475867]","[139426984, 526783054, 125833030, 478491090, 478376911, 496576666, 475829896, 607059419, 607321130, 528741104, 571401645, 609475867]"
475830603,Ai75(RCL-nT)-181901,M,55,55,"[879, 886]",0.034617895,879,RSPv,886,ACAv,yes,,http://connectivity.brain-map.org/projection/experiment/cortical_map/475830603,http://connectivity.brain-map.org/projection/experiment/475830603,0.999744877,0.914113259,-0.003412988,0.009542111,97.21578154,"[100148142, 100140949, 159832064, 591535205]","[475828414, 616674416]",[nan]
477435412,Ai75(T503)-185023,F,57,57,"[39, 48, 993]",0.013873579,39,ACAd,39,VISam,yes,,http://connectivity.brain-map.org/projection/experiment/cortical_map/477435412,http://connectivity.brain-map.org/projection/experiment/477435412,0.999205978,0.943636145,-0.001271757,0.012132023,95.94095343,"[112458114, 583747816, 584194481]","[637855050, 649362978]",[nan]
478678606,Ai75(T503)-186165,M,57,57,"[394, 533, 894, 312782546]",0.002439574,394,VISam,394,RSPagl,yes,,http://connectivity.brain-map.org/projection/experiment/cortical_map/478678606,http://connectivity.brain-map.org/projection/experiment/478678606,0.816453069,0.801770087,-0.000976397,0.004791158,100,"[524667618, 126861679, 100148503, 518742338, 159753308]","[560045081, 561986735, 591168591, 613898292, 651703553]","[126861679, 100148503, 518742338, 524667618, 159753308, 613898292, 651703553, 591168591, 478678606, 561986735, 560045081]"
478877019,Ai75(T503)-186167,M,57,57,"[39, 44, 731, 972]",0.070803344,39,ILA,44,TEa,yes,,http://connectivity.brain-map.org/projection/experiment/cortical_map/478877019,http://connectivity.brain-map.org/projection/experiment/478877019,1,0.840749795,-0.002110093,0.020114778,0.368397294,[nan],[521954271],[nan]
