sum_NPV_A,sum_NPV_B,dice_coefficient,pearson_correlation,match_A,fraction of match covered by td injection,absolute_overlap,distance,absolute_overlap_lg_over_small,spearman_correlation,injection_overlap,source,match_B,match_A_secondary_source,match_B_secondary_source,match_A_percent_secondary,match_B_percent_secondary,match_A_injection_size,match_B_injection_size,match_A_primary_source,match_B_primary_source,match_A_percent_primary,match_B_percent_primary,transgenic_line_A,transgenic_line_B,Virus_A,Virus_B,same_primary,same_secondary,<60% primary,same secondary for <60% primary
26.3077996,16.06016882,0.000695704,0.915855594,146858006,0.000231224,4.957274647,1063.860893,1.765161476,0.831517968,0.000749159,AUDp,112881858,AUDpo,AUDp,0.432928511,0.337980715,0.114170843,0.131597379,AUDp,AUDv,0.559057201,0.541524737,,,EGFP,EGFP,FALSE,FALSE,TRUE,FALSE
26.3077996,9.71582798,0.001595392,0.937101577,116903230,0.00148653,9.836553512,998.2484661,4.118096537,0.804714799,0.000720692,AUDp,146858006,AUDd,AUDpo,0.148757369,0.432928511,0.098312404,0.114170843,AUDp,AUDp,0.748993918,0.559057201,,,EGFP,EGFP,TRUE,FALSE,TRUE,FALSE
26.3077996,12.43959136,0,0.921982699,120491896,0,0,760.3288762,0,0.730337593,0,AUDp,146858006,fiber tracts,AUDpo,0.031248227,0.432928511,0.096904585,0.114170843,AUDp,AUDp,0.967419111,0.559057201,,,EGFP,EGFP,TRUE,FALSE,TRUE,FALSE
26.3077996,15.12485153,0,0.927562803,100149109,0,0,716.2401832,0,0.7595734,0,AUDp,146858006,AUDd,AUDpo,0.148783597,0.432928511,0.073451137,0.114170843,AUDp,AUDp,0.846882262,0.559057201,,,EGFP,EGFP,TRUE,FALSE,TRUE,FALSE
26.3077996,10.96481079,0,0.809230263,146858006,0,0,522.1110993,0,0.69945877,0,AUDp,139519496,AUDpo,AUDp,0.432928511,0.2975704,0.114170843,0.121590462,AUDp,AUDd,0.559057201,0.630267629,,,EGFP,EGFP,FALSE,FALSE,TRUE,FALSE
26.3077996,8.681034318,0.555652814,0.798253745,146858006,0.352661063,6562.22732,934.8261871,8663.580826,0.931746561,0.9917041,AUDp,576332845,AUDpo,AUDpo,0.432928511,0.257110889,0.114170843,0.423433696,AUDp,AUDp,0.559057201,0.472844508,,Emx1-IRES-Cre,EGFP,EGFP,TRUE,TRUE,TRUE,TRUE
26.3077996,22.5474943,0,0.851570741,182090318,0,0,613.025285,0,0.802582193,0,AUDp,146858006,AUDd,AUDpo,0.200186762,0.432928511,0.084623725,0.114170843,AUDp,AUDp,0.799813304,0.559057201,Rbp4-Cre_KL100,,EGFP,EGFP,TRUE,FALSE,TRUE,FALSE
26.3077996,12.96031186,0.65656917,0.837522005,146858006,0.440256668,6483.534293,214.7091055,8541.139912,0.944018211,0.979811766,AUDp,562671482,AUDpo,AUDpo,0.432928511,0.271022881,0.114170843,0.33392469,AUDp,AUDp,0.559057201,0.642850359,,Emx1-IRES-Cre,EGFP,EGFP,TRUE,TRUE,TRUE,TRUE
16.06016882,9.71582798,0.488203454,0.968072833,116903230,0.42681359,3258.285173,376.9615365,2887.890837,0.871176071,0.50539859,AUDp,112881858,AUDd,AUDp,0.148757369,0.337980715,0.098312404,0.131597379,AUDp,AUDv,0.748993918,0.541524737,,,EGFP,EGFP,FALSE,FALSE,TRUE,FALSE
16.06016882,12.43959136,0.014184803,0.84608141,120491896,0.012042834,91.93471549,803.8034586,94.01839131,0.842040826,0.016722595,AUDp,112881858,fiber tracts,AUDp,0.031248227,0.337980715,0.096904585,0.131597379,AUDp,AUDv,0.967419111,0.541524737,,,EGFP,EGFP,FALSE,FALSE,TRUE,FALSE
16.06016882,15.12485153,0,0.8534883,100149109,0,0,916.1877537,0,0.796414568,0,AUDp,112881858,AUDd,AUDp,0.148783597,0.337980715,0.073451137,0.131597379,AUDp,AUDv,0.846882262,0.541524737,,,EGFP,EGFP,FALSE,FALSE,TRUE,FALSE
16.06016882,10.96481079,0,0.761308412,139519496,0,0,1074.988372,0,0.766857511,0,AUDp,112881858,AUDp,AUDp,0.2975704,0.337980715,0.121590462,0.131597379,AUDd,AUDv,0.630267629,0.541524737,,,EGFP,EGFP,FALSE,TRUE,TRUE,TRUE
16.06016882,8.681034318,0.069586902,0.800061687,112881858,0.037310391,1120.359098,868.3893136,916.5786206,0.888282198,0.146759557,AUDp,576332845,AUDp,AUDpo,0.337980715,0.257110889,0.131597379,0.423433696,AUDv,AUDp,0.541524737,0.472844508,,Emx1-IRES-Cre,EGFP,EGFP,FALSE,FALSE,TRUE,FALSE
16.06016882,22.5474943,0,0.811054164,182090318,0,0,961.0411021,0,0.84021059,0,AUDp,112881858,AUDd,AUDp,0.200186762,0.337980715,0.084623725,0.131597379,AUDp,AUDv,0.799813304,0.541524737,Rbp4-Cre_KL100,,EGFP,EGFP,FALSE,FALSE,TRUE,FALSE
16.06016882,12.96031186,0.065295852,0.857784815,112881858,0.045494773,365.3061309,1241.73266,882.6151837,0.844840516,0.047852663,AUDp,562671482,AUDp,AUDpo,0.337980715,0.271022881,0.131597379,0.33392469,AUDv,AUDp,0.541524737,0.642850359,,Emx1-IRES-Cre,EGFP,EGFP,FALSE,FALSE,TRUE,FALSE
9.71582798,12.43959136,0.184401897,0.935955615,120491896,0.163361801,933.4633274,864.0601831,1045.219711,0.858082762,0.185908153,AUDp,116903230,fiber tracts,AUDd,0.031248227,0.148757369,0.096904585,0.098312404,AUDp,AUDp,0.967419111,0.748993918,,,EGFP,EGFP,TRUE,FALSE,FALSE,
9.71582798,15.12485153,0,0.933059704,100149109,0,0,852.9361055,0,0.825588792,0,AUDp,116903230,AUDd,AUDd,0.148783597,0.148757369,0.073451137,0.098312404,AUDp,AUDp,0.846882262,0.748993918,,,EGFP,EGFP,TRUE,TRUE,FALSE,
9.71582798,10.96481079,0.010768564,0.853312907,116903230,0.009746459,23.14292507,975.9610648,68.74136754,0.803996816,0.004050154,AUDp,139519496,AUDd,AUDp,0.148757369,0.2975704,0.098312404,0.121590462,AUDp,AUDd,0.748993918,0.630267629,,,EGFP,EGFP,FALSE,FALSE,FALSE,
9.71582798,8.681034318,0.056858506,0.762909582,116903230,0.024114762,860.8490146,815.4753215,592.4106973,0.826270409,0.150653852,AUDp,576332845,AUDd,AUDpo,0.148757369,0.257110889,0.098312404,0.423433696,AUDp,AUDp,0.748993918,0.472844508,,Emx1-IRES-Cre,EGFP,EGFP,TRUE,FALSE,TRUE,FALSE
9.71582798,22.5474943,0.015584838,0.842572309,182090318,0.006610079,37.77055922,865.8521814,82.7930239,0.804995678,0.016859612,AUDp,116903230,AUDd,AUDd,0.200186762,0.148757369,0.084623725,0.098312404,AUDp,AUDp,0.799813304,0.748993918,Rbp4-Cre_KL100,,EGFP,EGFP,TRUE,TRUE,FALSE,
9.71582798,12.96031186,0.118208991,0.81485338,116903230,0.076512836,329.297756,1140.789201,1484.37692,0.792974373,0.057629125,AUDp,562671482,AUDd,AUDpo,0.148757369,0.271022881,0.098312404,0.33392469,AUDp,AUDp,0.748993918,0.642850359,,Emx1-IRES-Cre,EGFP,EGFP,TRUE,FALSE,FALSE,
12.43959136,15.12485153,0.406205409,0.95494668,100149109,0.356796144,2005.992515,286.5309756,1884.941681,0.7996632,0.443046324,AUDp,120491896,AUDd,fiber tracts,0.148783597,0.031248227,0.073451137,0.096904585,AUDp,AUDp,0.846882262,0.967419111,,,EGFP,EGFP,TRUE,FALSE,FALSE,
12.43959136,10.96481079,0.046196878,0.846468178,120491896,0.029547398,292.7772279,483.4252786,208.3965639,0.783220018,0.052074863,AUDp,139519496,fiber tracts,AUDp,0.031248227,0.2975704,0.096904585,0.121590462,AUDp,AUDd,0.967419111,0.630267629,,,EGFP,EGFP,FALSE,FALSE,FALSE,
12.43959136,8.681034318,0,0.698561857,120491896,0,0,1301.921657,0,0.768939468,0,AUDp,576332845,fiber tracts,AUDpo,0.031248227,0.257110889,0.096904585,0.423433696,AUDp,AUDp,0.967419111,0.472844508,,Emx1-IRES-Cre,EGFP,EGFP,TRUE,FALSE,TRUE,FALSE
12.43959136,22.5474943,0.173598944,0.812588145,182090318,0.16261429,914.256093,380.1315562,704.7017491,0.793102367,0.143502405,AUDp,120491896,AUDd,fiber tracts,0.200186762,0.031248227,0.084623725,0.096904585,AUDp,AUDp,0.799813304,0.967419111,Rbp4-Cre_KL100,,EGFP,EGFP,TRUE,FALSE,FALSE,
12.43959136,12.96031186,0.000111774,0.728962198,120491896,5.81E-06,1.39844345,844.3932733,0.11269579,0.749272778,0.000248734,AUDp,562671482,fiber tracts,AUDpo,0.031248227,0.271022881,0.096904585,0.33392469,AUDp,AUDp,0.967419111,0.642850359,,Emx1-IRES-Cre,EGFP,EGFP,TRUE,FALSE,FALSE,
15.12485153,10.96481079,0.228800408,0.937471319,100149109,0.18340897,961.6085267,285.3068524,1293.575823,0.909632768,0.226021382,AUDp,139519496,AUDd,AUDp,0.148783597,0.2975704,0.073451137,0.121590462,AUDp,AUDd,0.846882262,0.630267629,,,EGFP,EGFP,FALSE,FALSE,FALSE,
15.12485153,8.681034318,0,0.70899574,100149109,0,0,1326.687605,0,0.742695446,0,AUDp,576332845,AUDd,AUDpo,0.148783597,0.257110889,0.073451137,0.423433696,AUDp,AUDp,0.846882262,0.472844508,,Emx1-IRES-Cre,EGFP,EGFP,TRUE,FALSE,TRUE,FALSE
15.12485153,22.5474943,0.624931892,0.92466785,100149109,0.568648312,2863.823433,136.381817,2792.47905,0.937994399,0.673127693,AUDp,182090318,AUDd,AUDd,0.148783597,0.200186762,0.073451137,0.084623725,AUDp,AUDp,0.846882262,0.799813304,,Rbp4-Cre_KL100,EGFP,EGFP,TRUE,TRUE,FALSE,
15.12485153,12.96031186,0.001820552,0.75930287,100149109,0.000343527,21.53245482,744.1102069,6.664556807,0.829958932,0.005061098,AUDp,562671482,AUDd,AUDpo,0.148783597,0.271022881,0.073451137,0.33392469,AUDp,AUDp,0.846882262,0.642850359,,Emx1-IRES-Cre,EGFP,EGFP,TRUE,FALSE,FALSE,
10.96481079,8.681034318,0,0.640485656,139519496,0,0,1289.379696,0,0.695291468,0,AUDp,576332845,AUDp,AUDpo,0.2975704,0.257110889,0.121590462,0.423433696,AUDd,AUDp,0.630267629,0.472844508,,Emx1-IRES-Cre,EGFP,EGFP,FALSE,FALSE,TRUE,FALSE
10.96481079,22.5474943,0.522861943,0.886844983,182090318,0.385837447,2721.295432,162.4807681,3127.678995,0.865557098,0.636906974,AUDp,139519496,AUDd,AUDp,0.200186762,0.2975704,0.084623725,0.121590462,AUDp,AUDd,0.799813304,0.630267629,Rbp4-Cre_KL100,,EGFP,EGFP,FALSE,FALSE,FALSE,
10.96481079,12.96031186,0.036394693,0.679088128,139519496,0.016336648,481.3802888,489.3873721,316.936937,0.760512074,0.068252252,AUDp,562671482,AUDp,AUDpo,0.2975704,0.271022881,0.121590462,0.33392469,AUDd,AUDp,0.630267629,0.642850359,,Emx1-IRES-Cre,EGFP,EGFP,FALSE,FALSE,FALSE,
22.5474943,12.96031186,0.043719205,0.835262817,182090318,0.022437633,531.4308911,621.8520724,435.2982612,0.885901811,0.10821828,AUDp,562671482,AUDd,AUDpo,0.200186762,0.271022881,0.084623725,0.33392469,AUDp,AUDp,0.799813304,0.642850359,Rbp4-Cre_KL100,Emx1-IRES-Cre,EGFP,EGFP,TRUE,FALSE,FALSE,
27.73527852,8.610793726,0.136430998,0.967674018,146858755,0.07612824,2209.656911,925.2567211,2516.92419,0.909104582,0.57617788,VISl,307743253,VISal,VISl,0.249622781,0.284995185,0.066182031,0.568667109,VISl,VISp,0.694202167,0.698602819,,,EGFP,EGFP,FALSE,FALSE,FALSE,
27.73527852,40.62490598,0,0.946100453,146858755,0,0,1328.194263,0,0.804790841,0,VISl,100141796,VISal,VISl,0.249622781,0.316179014,0.066182031,0.178561508,VISl,VISli,0.694202167,0.455401112,,,EGFP,EGFP,FALSE,FALSE,TRUE,FALSE
27.73527852,17.12264282,0.682413763,0.978182031,146858755,0.474678134,3557.64056,251.7935662,4653.690944,0.951308562,0.927670619,VISl,116903968,VISal,VISp,0.249622781,0.12572947,0.066182031,0.168873482,VISl,VISl,0.694202167,0.775009758,,,EGFP,EGFP,TRUE,FALSE,FALSE,
27.73527852,4.408395335,0,0.948187211,146858755,0,0,1181.228174,0,0.752603834,0,VISl,304565427,VISal,VISl,0.249622781,0.414360794,0.066182031,0.220694236,VISl,VISp,0.694202167,0.549240459,,,EGFP,EGFP,FALSE,FALSE,TRUE,FALSE
27.73527852,4.94206466,0.040618912,0.882858554,146858755,0.021547699,1089.325887,1446.478482,1355.382143,0.905527753,0.284046576,VISl,309004492,VISal,VISl,0.249622781,0.427202347,0.066182031,1.083029987,VISl,VISp,0.694202167,0.528833971,,,EGFP,EGFP,FALSE,FALSE,TRUE,FALSE
