flat_x,top_x,flat_y,id,top_y,injection_x,injection_z
1167,729,447,286313491,309,3750,5690
1087,709,966,159832064,783,7220,5960
1097,720,707,139520203,526,5170,5990
1109,719,577,286482701,384,3910,6000
1112,716,306,126860974,305,2350,6020
957,591,1068,166054929,829,8320,6050
1086,715,694,139426984,507,4930,6080
1033,575,947,100140949,721,7450,6090
1092,721,596,112458114,395,4290,6120
1064,571,918,100148142,696,6830,6160
1064,571,708,146593590,494,5270,6180
1075,724,668,125833030,477,4570,6180
1118,722,613,161458737,400,4400,6200
1127,730,672,126117554,481,4900,6200
1090,722,599,112514202,397,4220,6210
982,617,512,112952510,321,3430,6210
988,612,479,100141454,296,3310,6270
1148,721,411,263106036,331,3480,6280
1011,589,606,141603190,407,4180,6300
1172,738,429,157556400,303,3930,6340
1150,727,403,157711748,334,3350,6400
956,734,145,167902586,309,2710,6400
975,626,487,166055636,300,3380,6410
872,702,763,180720175,557,5760,6460
895,637,1034,112424813,804,8070,6500
878,762,100,158435116,295,2690,6590
909,755,122,112423392,318,2930,6610
955,630,672,180916954,464,5070,6610
944,652,581,168162771,382,4380,6710
927,658,670,182793477,466,4680,6710
879,756,119,287769286,299,2590,6810
856,748,155,156741826,310,2570,6810
856,664,1070,272916915,845,8260,6940
849,713,846,126852363,635,6880,6950
1015,775,1213,112595376,866,8350,6970
838,745,650,127084296,464,5160,6980
844,698,958,112229103,740,7450,7020
849,753,153,112306316,316,2790,7050
794,724,1046,146077302,834,8310,7070
768,702,1239,168164230,992,9720,7160
896,710,325,100140756,192,2290,7160
847,748,536,120814821,360,3560,7190
825,736,846,100141495,638,6420,7190
854,742,313,157710335,194,2130,7190
713,734,1214,174361040,994,9790,7230
794,745,952,100148503,744,7420,7290
701,754,1185,272782668,980,9770,7320
796,744,949,126861679,741,7350,7320
862,743,355,263242463,211,2230,7370
785,743,1004,100141599,796,7900,7380
834,737,226,180673746,300,2090,7380
839,752,560,141602484,383,3970,7400
836,743,710,166082842,516,5590,7430
841,737,223,170721670,302,2290,7440
841,738,711,100141273,517,5590,7460
1,759,179,100141563,494,5370,7490
772,802,718,180718587,535,5950,7500
820,757,721,182803137,529,5770,7510
757,752,1061,294481346,857,8650,7560
784,746,992,159753308,785,7820,7560
811,782,486,606785720,325,3370,7580
826,769,499,585025284,333,3320,7590
774,799,733,112229814,547,5830,7640
781,790,761,272698650,570,6180,7680
791,779,781,297652799,585,6160,7690
802,790,488,598604288,329,3510,7700
761,805,788,112791318,599,6350,7740
636,839,1098,307593747,921,9060,7760
1,869,22,272697944,311,3940,7780
719,843,775,266249483,596,6240,7790
790,799,498,584903636,342,3450,7850
638,854,1049,309113907,875,8740,7850
582,811,1238,113887868,1030,9980,7920
690,828,990,183173527,805,7960,7970
660,923,174,180709230,362,3010,7970
732,843,616,286312782,457,5080,7980
697,856,363,180709942,269,2670,8010
769,814,519,100141780,366,3920,8020
651,834,1080,266250195,901,8740,8020
699,852,829,100142655,651,6920,8020
774,814,431,166082128,290,3200,8050
644,836,1086,100141219,908,8800,8070
610,866,1074,307557934,905,8740,8140
616,873,1039,309372716,872,8740,8140
603,876,1057,307558646,892,8740,8140
681,822,1043,277616630,858,8440,8160
739,822,325,180719293,228,2460,8170
641,854,1040,304586645,865,8510,8190
652,883,876,126907302,706,7460,8220
664,845,1006,277714322,827,8360,8230
660,845,1021,277712166,842,8370,8250
626,838,1120,121510421,944,9290,8270
673,840,999,277713580,818,8250,8300
550,879,1139,307320960,979,9340,8300
654,882,871,272735030,701,7130,8320
552,975,229,166153483,428,3530,8340
648,847,1045,294482052,868,8710,8340
580,885,1077,309003780,917,8870,8360
538,902,1102,307297141,951,9230,8430
