flat_x,top_x,flat_y,id,top_y,injection_x,injection_z
530,902,1112,307321674,961,8930,8450
536,886,1140,307296433,983,9460,8460
663,849,994,113887162,816,7900,8470
590,861,1122,100147853,954,9440,8630
585,883,1074,307137980,914,8780,8650
539,920,1055,307743253,909,8810,8690
544,949,280,296048512,406,3660,8700
501,931,1080,309004492,943,9450,8700
544,976,777,112951804,650,6720,8720
599,948,670,126908007,538,5830,8740
506,976,311,112596790,437,3620,8780
551,931,996,167794131,851,8270,8820
634,923,640,112373124,503,5180,8860
636,920,550,114290938,428,4530,8980
527,977,859,112882565,730,7310,8990
617,935,606,303785454,480,5040,9060
531,974,862,100141473,731,7510,9070
622,932,632,249327301,500,5130,9070
551,966,826,127866392,691,7310,9080
553,957,477,100149969,406,4280,9140
620,929,528,112936582,416,4470,9140
444,930,1143,272916202,1009,9840,9160
464,928,1128,127138787,992,9620,9200
459,988,368,272737914,465,4140,9230
536,939,1003,146858755,862,8520,9270
409,1046,678,112514915,618,6530,9270
482,929,1106,304565427,969,9590,9290
488,976,410,272928602,413,4330,9320
384,1014,464,180404418,520,5260,9340
482,980,449,180717881,420,4620,9380
488,1005,828,120916102,715,7520,9390
447,986,431,249402048,479,4410,9390
491,1003,820,298179622,708,7380,9400
239,1050,528,183330908,576,6160,9400
474,929,1114,180296424,978,9290,9410
416,978,1062,100141796,952,9180,9440
375,1052,622,117298988,588,6170,9450
428,957,1098,114250546,978,9510,9450
442,1028,856,158314278,758,7720,9460
408,976,1076,112373830,966,9420,9460
347,1016,1037,157062358,952,9270,9500
361,1001,1062,166083557,969,9360,9570
446,1028,615,168163498,551,5560,9590
356,1070,821,120491896,760,7760,9630
448,1012,920,115958825,815,8150,9640
346,1018,1033,127089669,948,9070,9650
392,1038,926,146858006,840,8170,9650
338,1022,1029,298178204,948,9100,9660
450,1028,638,286314623,568,5870,9660
475,995,930,120437703,814,8220,9700
434,1033,850,139519496,755,7680,9710
408,1015,495,174360333,474,4920,9770
386,1058,818,100149109,745,7620,9780
398,1052,836,182090318,756,7660,9790
334,1031,495,180436360,546,5520,10080
303,1080,857,112881858,814,8300,10150
268,1044,555,174361746,569,6040,10240
258,1054,619,180074890,616,6370,10270
271,1045,569,180917660,576,6370,10280
353,1067,862,116903230,798,8170,10390
207,1061,816,180435652,842,7860,10390
173,335,885,528328648,633,,
634,297,1090,515920693,914,,
1111,412,640,267749107,447,,
267,105,969,142654100,931,,
1051,569,592,286774770,398,,
1163,414,372,159511623,316,,
467,204,1106,502956560,974,,
730,416,1206,286836394,986,,
1112,410,593,299829892,396,,
646,260,919,299820770,748,,
608,248,995,539323512,832,,
866,458,932,573331541,712,,
1050,568,685,293432575,479,,
1124,424,564,294434161,376,,
1087,491,691,607321130,504,,
729,409,1193,519486602,979,,
846,389,165,298230624,323,,
613,283,1093,478257959,922,,
1082,569,943,616674416,711,,
654,294,1032,159330030,854,,
249,53,821,521617657,814,,
447,182,1077,501785691,955,,
775,387,998,287225041,793,,
416,99,653,257636467,594,,
971,455,157,526783792,261,,
938,488,632,297892130,429,,
1057,569,724,607059419,510,,
757,415,1147,297627858,936,,
493,162,957,576684233,833,,
715,375,1131,523714193,932,,
778,443,1237,614094233,988,,
1104,414,672,159319654,486,,
558,170,579,168229820,477,,
685,276,829,177907797,654,,
1040,448,232,520615681,287,,
1122,432,943,184168193,767,,
610,292,1119,301616660,946,,
772,378,966,528963283,762,,
1151,478,401,478877019,320,,
590,276,1115,510581751,948,,
392,85,836,287223629,759,,
541,205,1003,266487079,860,,
851,414,118,601804603,277,,
739,303,643,297951732,478,,
577,182,568,181819064,462,,
1,555,361,555012592,812,,
1044,444,1187,592522663,852,,
867,452,896,572595932,678,,
835,396,705,157909001,512,,
632,305,1114,540146149,936,,
1128,424,722,183470468,541,,
1007,554,697,571652998,490,,
553,184,256,292209592,407,,
763,376,994,561506791,792,,
991,556,994,525412369,764,,
653,235,699,181180790,547,,
1066,569,918,526502961,698,,
1131,476,588,475733382,368,,
972,526,677,158139883,468,,
621,229,859,183374804,699,,
624,283,1072,166326736,900,,
1084,410,705,177783204,525,,
461,120,821,120494024,719,,
646,288,1032,297592527,856,,
653,304,1066,502592260,886,,
698,335,723,609475139,633,,
561,267,1138,514314707,976,,
986,540,693,176433237,484,,
982,439,1224,666090944,866,,
794,353,608,159651060,438,,
774,379,961,560045081,758,,
411,95,839,124060405,754,,
926,531,1170,561307215,908,,
1129,483,566,569932566,366,,
1107,424,676,183461297,489,,
328,134,1075,176429574,989,,
648,293,1046,182089608,870,,
739,418,1247,516273371,1001,,
866,423,167,572390577,304,,
502,175,981,534175823,852,,
787,387,944,566244185,739,,
520,261,663,563205064,856,,
504,197,1045,495875751,912,,
956,443,140,617898760,283,,
934,484,636,294525944,433,,
751,314,619,303615412,456,,
235,89,1003,142656218,954,,
773,375,950,613898292,747,,
785,392,977,184167484,770,,
640,306,1102,546389260,923,,
504,137,282,159322514,470,,
1164,397,404,177889243,319,,
561,213,307,264076854,388,,
465,125,572,303616833,511,,
391,150,1057,286554724,954,,
259,102,975,182794184,937,,
674,325,1082,526784559,897,,
1126,477,427,606260719,328,,
1163,490,446,529435133,291,,
620,294,1107,156784823,933,,
652,306,1074,495753765,895,,
651,319,1115,574637452,932,,
146,335,851,585051446,633,,
1127,408,717,126190033,533,,
250,95,954,180297139,925,,
1074,487,681,571401645,493,,
476,155,964,516274127,845,,
1087,419,702,278069982,518,,
979,526,601,572753855,400,,
1159,488,423,521954271,305,,
698,335,723,578332611,633,,
742,343,930,591394174,735,,
1104,496,928,475828414,740,,
456,185,1074,502590301,950,,
391,147,1052,272736450,950,,
1012,557,697,573977678,490,,
1139,486,680,607052300,473,,
565,236,1052,561918904,899,,
1066,569,670,267705378,460,,
775,436,1246,159554010,993,,
1104,469,443,609157409,329,,
1082,488,597,477435412,387,,
484,186,1044,520750912,915,,
672,311,1043,166324604,860,,
1086,495,924,561910766,737,,
642,257,920,572771153,750,,
1042,569,714,267101850,506,,
464,194,1085,504176074,957,,
963,516,666,292174974,458,,
957,514,690,278258073,481,,
1032,486,226,475617622,232,,
368,135,1044,184075100,950,,
497,174,988,159224478,861,,
758,370,990,605093074,789,,
522,193,1002,298757426,865,,
837,453,1039,595259180,818,,
819,403,108,571816813,276,,
605,261,1044,543679575,879,,
178,335,892,112672974,633,,
516,155,270,478995566,446,,
405,146,1033,560029094,930,,
1126,415,454,292374777,344,,
1106,391,683,266412788,503,,
1157,410,465,287494320,323,,
1111,420,588,278502708,389,,
638,245,871,297628576,705,,
932,484,646,177319974,442,,
653,292,1029,159550125,852,,
158,335,860,531233132,633,,
698,335,723,605092364,633,,
522,204,1037,571653937,898,,
645,226,600,177782493,466,,
529,208,1037,482639810,896,,
773,378,964,293821389,761,,
1112,469,1118,561511939,827,,
458,117,818,156395997,717,,
698,335,723,614435699,633,,
835,395,695,179640955,504,,
1059,569,692,475829896,480,,
825,381,151,126353451,317,,
732,416,1206,510835921,986,,
999,562,1107,157711043,856,,
496,200,1064,501883865,930,,
1065,569,651,171275617,444,,
1168,402,414,298272589,306,,
363,155,1081,528512680,969,,
1049,452,1176,592724077,847,,
616,269,1046,496252297,878,,
404,147,1037,292791310,933,,
941,445,126,532005897,256,,
464,122,602,287951098,533,,
726,292,649,181860173,486,,
1029,437,1203,868641659,854,,
1156,420,358,159209586,314,,
885,427,545,287807030,359,,
978,558,1056,571647261,818,,
950,448,136,521955016,257,,
960,548,1027,166458363,792,,
626,294,1097,166269819,922,,
788,358,776,166323186,582,,
759,321,585,179641666,426,,
639,286,1046,514313871,872,,
582,280,1136,156545918,968,,
652,317,1107,501837158,925,,
766,368,947,157769139,745,,
546,206,997,286835688,854,,
474,123,628,287037604,549,,
856,399,523,288169842,347,,
457,150,980,517078399,867,,
512,196,1031,484503464,896,,
642,308,1103,504099316,924,,
257,131,1036,522274859,946,,
1080,480,279,524267323,294,,
829,388,678,166461193,490,,
623,243,921,522635991,757,,
642,289,1049,296052133,873,,
1104,410,656,156546627,467,,
640,222,606,278317945,473,,
551,204,978,297231636,834,,
555,256,1120,506891241,962,,
590,283,1133,278068196,963,,
462,181,1056,531397136,933,,
799,415,1021,297946154,810,,
503,195,1041,560965104,908,,
601,248,1013,529692491,851,,
515,175,955,544488964,824,,
664,262,853,297710633,682,,
396,167,1092,601885751,982,,
594,285,1130,157767683,960,,
315,131,1019,579409876,947,,
1085,496,909,561512675,728,,
744,307,561,298325807,410,,
1066,569,971,475830603,744,,
615,206,715,168003640,572,,
963,549,1021,278179794,787,,
793,393,951,591168591,744,,
603,288,1124,288171964,952,,
527,197,1005,287036898,867,,
497,206,1078,518013943,942,,
671,320,1074,263780729,890,,
1067,567,600,159330754,401,,
199,77,824,484612961,847,,
744,409,1158,268040381,949,,
634,302,1102,479085232,925,,
513,178,972,510848595,841,,
1058,569,959,166271142,730,,
1080,569,930,292124058,700,,
521,214,1066,543297033,924,,
494,166,968,603208501,842,,
495,196,1055,552430870,923,,
666,266,863,297654263,690,,
844,404,694,597007858,502,,
663,277,937,566454054,761,,
698,335,723,496964969,633,,
946,495,620,272822110,418,,
,648,,297947641,402,,
698,335,723,528732005,633,,
597,268,1081,561918178,916,,
813,381,772,266964788,574,,
486,160,961,520996382,840,,
599,278,1103,158255941,935,,
574,241,1051,526924964,895,,
1148,410,421,294396492,334,,
851,381,131,168164972,306,,
1091,408,285,265820216,317,,
847,395,168,183471174,314,,
776,381,965,268038969,761,,
609,200,675,301583889,539,,
377,78,823,293820681,754,,
220,117,1001,272414403,937,,
1081,479,582,649362978,378,,
470,186,1060,503018656,934,,
1161,482,447,527713883,291,,
410,96,651,301580339,596,,
967,455,152,523177830,263,,
501,192,1036,502955689,904,,
604,266,1063,502140653,897,,
874,503,1133,536920234,896,,
526,197,1007,277849965,869,,
953,547,1077,182467736,836,,
560,214,283,264320859,384,,
1046,443,1186,521255975,850,,
629,308,1127,565146821,948,,
1003,416,204,297892843,306,,
897,430,110,479115470,268,,
450,112,653,159508775,579,,
470,167,1011,495344543,890,,
1140,481,423,575683857,323,,
650,321,1123,503017948,939,,
828,433,986,604100536,770,,
437,182,1089,553080579,968,,
1041,437,1187,623838656,846,,
737,302,589,177893658,435,,
557,261,1130,183471884,970,,
899,498,987,529129011,758,,
527,257,1160,522636747,1002,,
785,384,940,168165712,735,,
632,254,942,184073678,775,,
444,184,1084,552543088,961,,
1144,482,592,623286726,363,,
795,361,738,296052839,548,,
928,471,573,569993539,376,,
388,82,818,184159706,745,,
193,335,931,527393013,633,,
410,93,831,166268376,748,,
1058,569,925,176497015,702,,
1037,569,713,567301515,507,,
886,429,547,120584036,361,,
1158,410,364,298274021,310,,
464,180,1054,495754475,930,,
647,231,718,267660272,566,,
450,114,620,287996596,554,,
501,211,1085,527575484,947,,
1113,485,609,528511254,388,,
657,312,1081,485553574,900,,
657,308,1071,181258571,891,,
507,198,1044,523180728,909,,
759,328,745,166326029,561,,
818,423,982,309515141,768,,
513,210,1068,517962038,928,,
1113,494,928,605496542,741,,
698,335,723,606278526,633,,
1165,421,387,283019341,320,,
1005,545,566,287995889,371,,
1,378,159,570461017,610,,
632,293,1081,539511058,906,,
657,321,1109,501786400,926,,
388,185,1135,571410278,1016,,
552,251,1112,539738599,956,,
846,400,179,159887627,311,,
423,107,573,266175461,528,,
168,335,876,523704892,633,,
1160,487,385,614738437,318,,
883,424,525,156394513,342,,
783,386,965,561986735,759,,
1041,411,234,272781246,282,,
946,542,1053,518605181,816,,
851,417,160,636799953,297,,
223,83,809,529428776,840,,
665,241,610,298796577,469,,
698,335,723,607289053,633,,
631,286,1064,298350212,890,,
782,392,990,297233422,783,,
443,110,833,477834984,736,,
610,290,1116,267704653,944,,
477,158,973,528509838,853,,
396,86,831,266963362,752,,
354,182,1149,603468246,1029,,
162,60,759,146553971,708,,
631,303,1112,501711996,935,,
641,245,862,293889922,696,,
634,217,586,159651770,458,,
454,114,806,288171256,709,,
367,195,1161,527390805,1033,,
1106,424,711,268038262,530,,
698,335,723,592698087,633,,
566,213,272,294525229,380,,
447,115,856,114752488,756,,
141,335,827,585026021,633,,
877,399,198,278174451,323,,
441,110,842,176430283,745,,
414,138,1003,569623967,901,,
1112,416,587,298797288,390,,
200,72,792,528511967,821,,
1120,498,944,524063357,750,,
645,293,1053,292126180,876,,
659,236,622,292318449,480,,
639,222,674,267749821,530,,
668,266,853,115956702,680,,
346,141,1078,170261951,987,,
1032,564,608,159551564,412,,
757,362,956,528510546,756,,
185,335,920,113226232,633,,
651,312,1097,501787135,916,,
249,95,958,642967852,928,,
1002,442,1214,664716091,863,,
852,395,519,267659565,344,,
833,476,1206,531443949,956,,
767,372,964,651703553,762,,
881,424,115,617900105,283,,
731,365,1059,517962765,862,,
1085,484,692,609475867,506,,
793,398,970,478678606,762,,
833,416,873,601904029,662,,
754,415,1154,168097187,943,,
937,492,673,297854981,467,,
750,424,1188,294484177,970,,
605,300,1148,495346667,972,,
504,189,1023,572388976,891,,
867,409,530,168002073,350,,
843,442,965,617901499,748,,
555,261,1132,520985971,971,,
652,231,605,303614706,468,,
662,278,946,576660608,770,,
1162,485,372,527713163,286,,
797,364,761,266644610,567,,
1080,486,664,528741104,472,,
664,309,1054,511234217,873,,
646,242,816,286648997,652,,
827,390,729,591622344,534,,
648,250,857,266486371,689,,
632,220,714,288170549,566,,
915,474,700,263781454,495,,
338,64,796,303582161,746,,
1129,423,659,478780588,463,,
,357,,520012330,756,,
820,374,133,521600217,279,,
567,276,1152,539514325,985,,
867,411,544,122642490,363,,
871,437,769,182616478,562,,
698,335,723,601900484,633,,
868,416,588,265929196,401,,
739,303,648,292792016,481,,
745,309,648,298106713,481,,
628,303,1117,478256439,940,,
728,395,1156,517077687,950,,
1008,443,1206,569904687,859,,
278,114,993,232311959,945,,
174,335,893,530000865,633,,
372,158,1094,294516943,991,,
655,292,1025,283020912,847,,
818,389,798,287880102,596,,
776,353,820,166566678,624,,
994,566,1064,570071403,826,,
698,335,723,607316031,633,,
448,113,627,297945448,559,,
962,503,541,657424207,345,,
207,70,918,626107114,905,,
624,272,1035,506890448,865,,
614,207,727,298760261,582,,
160,57,776,525413115,728,,
698,335,723,592698832,633,,
777,347,766,177319236,575,,
806,371,737,278257366,544,,
647,230,710,159888336,558,,
652,231,602,297948420,466,,
790,392,955,156671933,748,,
640,297,1076,563352720,899,,
698,335,723,524266253,633,,
1075,569,910,166269090,682,,
1095,486,605,637855050,389,,
525,196,1007,283017324,870,,
313,153,1118,483094671,1020,,
517,182,975,166459778,842,,
670,326,1095,483013787,910,,
846,389,506,267750528,334,,
648,305,1082,584507699,902,,
549,272,1164,508889322,1000,,
511,173,958,544454674,828,,
487,126,266,475616836,483,,
409,163,1072,299782273,961,,
892,401,204,293433283,322,,
619,208,692,123664417,551,,
166,335,867,127139568,633,,
640,224,693,171276330,545,,
489,192,1052,518012479,922,,
356,184,1150,568502684,1030,,
568,236,1048,526501457,895,,
658,321,1105,501116471,922,,
276,113,989,640081415,942,,
1131,418,609,299782983,393,,
764,326,643,298352336,473,,
358,89,927,576332845,853,8860,1180
326,114,1029,657172447,952,9240,1310
315,111,1029,648252402,956,9240,1340
335,139,1083,590988082,993,9780,1600
359,130,1041,576340889,951,9050,1630
376,137,1040,648050335,945,9080,1710
504,98,507,562671482,823,8030,1780
395,113,956,554421791,865,8470,1810
429,123,938,606100558,838,8090,1850
411,116,946,579203888,852,8430,1860
441,126,928,563179067,824,8270,1860
422,160,1051,661987195,940,8510,1870
558,180,835,583748537,697,7440,1940
497,167,965,510834706,839,8200,2010
458,180,1059,495562600,936,9170,2070
571,153,564,554334685,981,9360,2100
510,180,984,524666904,852,8430,2130
486,165,981,518605900,858,8700,2220
603,209,814,657041814,663,6870,2270
469,183,1055,479673887,930,8920,2310
494,197,1058,482580380,926,8460,2330
568,260,565,512315551,971,8460,2340
463,184,1066,479980810,941,9210,2370
449,176,1059,479673174,940,9140,2390
473,182,1047,479700629,921,9050,2410
504,177,987,500836105,858,8640,2420
573,193,855,648253235,711,7200,2470
520,197,1019,562520963,882,8590,2500
639,254,914,518606617,745,7530,2500
520,212,1063,479982715,922,8870,2550
488,208,1092,479981981,956,9200,2590
466,259,524,521600943,746,7510,2610
528,230,1095,530555292,948,9140,2630
651,267,935,540145406,762,7400,2670
625,232,860,647806688,699,7210,2750
581,259,674,574941472,1019,9470,2840
506,277,1210,593016678,1033,9600,2900
529,290,1214,580150240,1031,9930,2970
565,266,1128,522409371,966,9220,2990
546,258,1138,500837552,979,9320,3010
564,271,1142,503323656,977,9290,3020
550,279,1179,603479758,1010,9470,3050
611,270,1060,503069254,892,8690,3090
631,255,950,524874308,782,7920,3100
610,258,1023,530574594,858,8670,3110
589,288,1146,535692871,974,9400,3180
646,291,1043,596253012,866,8430,3240
646,308,1096,482578964,917,9040,3260
678,284,907,511550172,729,6900,3290
637,301,1096,479755622,918,8870,3320
672,281,914,657334568,736,7740,3330
530,287,799,479983421,877,8550,3350
631,281,1050,536299435,877,8770,3370
714,316,917,656959718,729,7240,3370
681,311,1013,503809372,829,8380,3380
575,313,1255,606929366,1034,9770,3390
572,323,1228,601476074,1028,9720,3400
674,304,1011,562061175,830,8330,3400
645,311,1106,517072832,926,9100,3400
704,317,962,657042668,774,7900,3450
666,324,1099,479701339,914,8990,3510
706,338,1037,501004474,846,8290,3540
637,288,1057,500836840,882,8850,3550
581,363,994,510417255,1022,9660,3550
652,309,1086,479756361,905,9040,3560
670,293,980,598605738,800,7800,3570
692,306,960,656632388,775,7880,3600
764,366,947,597007143,746,7680,3630
684,387,1216,501115762,1002,9330,3730
702,398,1248,510417993,1010,9530,3740
709,405,1235,536298726,1004,9620,3760
751,366,995,502074651,795,7920,3780
697,398,1224,657046319,1002,9600,3800
780,383,954,524667618,749,7580,3820
772,379,970,518742338,767,7800,3850
686,372,1180,479984127,980,9470,3890
684,346,1121,546103149,930,9180,3930
877,404,1290,482581199,910,9410,3940
725,368,1085,502966396,888,8750,3940
779,426,1124,523718823,911,8680,4050
765,410,1109,501006221,901,8710,4050
757,388,1063,512314723,859,8480,4080
811,423,1011,571100135,798,8180,4120
799,419,1039,572588941,827,8180,4120
754,387,1068,485237081,865,8590,4120
822,427,985,576341623,770,8030,4130
928,513,1225,496113850,931,8560,4230
830,430,960,646525156,745,7590,4230
816,432,1029,646525997,813,8340,4250
806,420,1014,593018150,802,8200,4250
689,384,1200,584511827,993,9410,4270
824,427,977,562674923,761,7870,4300
825,429,980,575782182,765,7870,4300
878,494,1224,562521707,950,9090,4450
1002,553,778,496151571,564,5820,4850
1032,569,1052,501484658,832,7880,4900
913,435,116,480994108,267,2770,4910
972,556,1098,592540591,854,8410,4940
945,543,1095,584895127,853,8250,4970
460,552,677,591535205,736,7500,5040
168,569,715,478376197,223,3050,5060
1148,475,346,496554237,309,2810,5250
1024,470,214,478582494,270,2630,5280
1077,482,697,478491090,511,5140,5440
1088,487,686,526783054,499,4940,5440
1077,494,763,501483880,581,5680,5480
1084,486,637,584194481,430,4380,5480
1055,569,682,496576666,474,4750,5510
1091,483,656,478376911,463,4620,5520
1090,478,598,583747816,383,3810,5570
369,707,945,114292355,566,6180,7090
359,724,875,112935169,548,5690,7270
564,734,558,126862385,959,9060,7560
305,811,986,126909424,456,5080,7800
462,878,947,272929308,740,7510,8350
355,926,624,120875816,542,5650,8560
530,944,791,116903968,878,8490,9120
342,965,1083,112162251,520,5370,9240
270,953,868,157654817,396,4370,9310
560,935,726,307295727,949,9270,9350
