id,injection structure,injection dmn fraction,projection dmn fraction,distance coefficient,DMN coefficient,DMN t values,DMN p values,injection core fraction,projection core fraction,core distance coefficient,DMN core coefficient,core t values,core p values
180073473,AUDpo,0.0001863916717647922,0.11156979518817392,-0.0032409470315106353,-0.044717269675331545,[ -164.11202437   -46.82154833 -1381.19390031],[0. 0. 0.],0.0,0.02813917800638325,-0.003270884476963479,-0.05636087083044938,[ -166.31366442   -56.32515696 -1395.21113705],[0. 0. 0.]
307297141,VISp,0.0,0.1724248678064545,-0.010454437623329699,-0.07569654947592072,[-236.96373934  -38.74891936 -431.05433348],[0. 0. 0.],0.0,0.1134681903626449,-0.010553064248133136,-0.101191533751049,[-239.65344886  -49.33004812 -431.7614973 ],[0. 0. 0.]
180917660,VISC,0.0,0.16933979856910134,-0.007295122169780042,-0.36448467033674437,[-111.00543341 -116.35293836 -223.39677908],[0. 0. 0.],0.0,0.04465707723516061,-0.0073424933587092735,-0.4763678601791692,[-115.23526371 -149.08387653 -231.37487051],[0. 0. 0.]
174360333,SSs,0.0,0.05869316929537816,-0.004762034157895495,-0.17707355101540023,[-131.03318437 -103.60574816 -702.20597439],[0. 0. 0.],0.0,0.004160422501052211,-0.004767819219171899,-0.19120791856394392,[-131.49830494 -106.58782008 -721.82194891],[0. 0. 0.]
100140949,RSPv,0.987124752505583,0.8454739116184465,-0.017231551953735436,0.018167224388847436,[-260.02930257    9.19871113 -343.26822957],[0.00000000e+00 3.67691842e-20 0.00000000e+00],0.987124752505583,0.8006700798165299,-0.017205987864188376,0.01822888654668775,[-248.68435536    8.40290519 -334.43794327],[0.00000000e+00 4.40117278e-17 0.00000000e+00]
100141454,MOs,0.9977302638915092,0.8643149469400768,-0.006630120515120984,0.08856844864056401,[-145.69883682   50.06980863 -647.04678708],[0. 0. 0.],0.9977302638915092,0.7846023043083759,-0.006637073931901591,0.09268781153904238,[-145.8871281    49.81786892 -665.94444353],[0. 0. 0.]
272916202,VISpl,0.0,0.0799491778054911,-0.0008821260955200784,-0.011396113501509708,[  -87.42696721   -25.01267344 -2878.40472718],[0.00000000e+000 9.84452583e-138 0.00000000e+000],0.0,0.06746023869351252,-0.0008917296075619287,-0.011122802335741144,[  -88.3583889    -23.19943409 -2886.83353326],[0.00000000e+000 8.30676496e-119 0.00000000e+000]
113887162,VISp,0.5574173961393655,0.4853834059783623,-0.011430252446065613,0.03380890475561721,[-220.66833811   15.97703274 -415.90944882],[0.00000000e+00 2.11017253e-57 0.00000000e+00],0.33165776254676776,0.3581817533203092,-0.011522448092015749,0.006819857002717866,[-220.63904118    3.03846093 -412.04870364],[0.        0.0023784 0.       ]
180296424,VISp,0.0,0.19286199321086636,-0.014353576917504867,-0.06990951556654715,[-265.57991231  -28.64231222 -230.46727401],[0.00000000e+000 7.80638015e-180 0.00000000e+000],0.0,0.13364862278033632,-0.014425409113396272,-0.09080881273596025,[-267.24655408  -35.40859044 -230.32567706],[0.00000000e+000 3.00525459e-273 0.00000000e+000]
180404418,GU,0.0,0.021655548778515575,-0.000642253435316549,-0.014012735610115401,[  -76.78222718   -37.153594   -3894.72603425],[0.00000000e+000 1.78860571e-300 0.00000000e+000],0.0,0.009737690226320726,-0.0006395074124883066,-0.01304063233713118,[  -76.37178124   -32.82990211 -3965.68659712],[0.00000000e+000 2.30565265e-235 0.00000000e+000]
