image_series_id,spearman_correlation,exp_predicted,low_pred_band,CAV_percent_DMN,number of comparisons,source,injection_size,fraction_low_corr,mean_overlap,target_by_polygon,low_corr_experiment
475617622,0.8603630879999999,0.8032178782463213,0.6838049423749722,99.65328966,2,ORBm,0.024242431000000002,0.0,0.4975140995,RSPd,
475733382,0.8141053905,0.821630318174216,0.7147621136270912,98.37251624,2,ACAv,0.030775832000000003,0.0,0.4670543855,ORBvl,
475828414,0.818330662,0.7547192188402833,0.6458548683259007,99.65911166,3,RSPv,0.006795305,0.0,0.335356698,MOs,
475829896,0.7994858567142856,0.8604180449832974,0.7301273735368519,100.0,7,ACAd,0.055738627,0.0,0.6184138614285715,MOp,
475830603,0.7801496164999999,0.8285323697982352,0.6995964972694504,97.21578154,4,RSPv,0.034617895,0.0,0.47722111375,ACAv,
477435412,0.7900212416666665,0.7891380817189315,0.6606158805771764,95.94095343,3,ACAd,0.013873578999999999,0.0,0.5498411663333334,VISam,
478678606,0.727320271,0.7461055739200273,0.6381069377748139,100.0,5,VISam,0.002439574,0.0,0.39581018700000004,RSPagl,
479115470,0.76885948225,0.8144050933012497,0.6972062298559509,100.0,4,ORBvl,0.019577826,0.0,0.78237793025,RSPagl,
484612961,0.636846735,0.7292099372843528,0.6233885924068563,100.0,1,ECT,0.00187296,0.0,0.073516478,PL,
485553574,0.7536277910000001,0.7316854044678386,0.6131880256025617,0.33397262,17,VISp,0.002349125,0.0,0.1661515,VISl,
495346667,0.7675290210833333,0.8058643375520266,0.6841216721297819,0.0,12,VISp,0.030367226,0.0,0.22187782666666664,VISl,
501711996,0.7430536270999999,0.8623648707307832,0.7400112247375112,88.50999006999997,20,VISp,0.094308301,0.55,0.28411134904999996,VISrl,True
501785691,0.7169805258333333,0.7803692469944191,0.6643297867801344,0.0,6,VISl,0.013218176000000002,0.3333333333333333,0.4302844335,VISli,
501786400,0.7844845577647057,0.8618006603017737,0.7362344630455943,56.782048980000006,17,VISp,0.093047354,0.35294117647058826,0.28805517964705885,RSPagl,
501787135,0.7576376064666666,0.765091138685272,0.6419777735560026,54.02219875000002,15,VISp,0.011434548000000001,0.0,0.23443198546666671,RSPagl,
501837158,0.6238496737142858,0.7279360790073951,0.6163763418410451,4.046436908,7,VISp,0.001035779,0.5714285714285714,0.11511830185714286,AUDp,True
501883865,0.800394327375,0.8809980189982844,0.7583160089436441,25.29294414,8,VISl,0.150776802,0.25,0.41166311349999996,VISp,
502590301,0.7935256896666667,0.8294785683922852,0.709819813497097,2.045968324,6,VISl,0.032549168999999996,0.0,0.5411996836666667,VISp,
502592260,0.794661484952381,0.739663517883651,0.6193267955201133,100.0,21,VISp,0.003795706,0.0,0.2247555275238095,ACAv,
502955689,0.8097220285555555,0.8737698077744699,0.7570697064539235,0.0,9,VISl,0.11739343599999999,0.1111111111111111,0.3561183784444444,VISp,
502956560,0.7352579368571429,0.7801934614958518,0.6645236327485391,0.0,7,VISl,0.018613443,0.14285714285714285,0.19791026871428574,VISp,
504176074,0.7674720827142857,0.8865325132795915,0.769187918228479,0.0,7,VISl,0.139953614,0.7142857142857143,0.5354860151428571,VISp,True
515920693,0.6639213245333335,0.7326501762830889,0.6161026219749021,0.0,15,VISp,0.002207518,0.2,0.16167826146666667,VISl,
518012479,0.7379659151666668,0.7356851884091756,0.6180755140579153,0.0,6,VISl,0.002538149,0.0,0.1853645511666667,VISp,
518013943,0.801512303,0.729129985035446,0.6225468562846779,0.0,2,VISl,0.0013316229999999999,0.0,0.0638706295,VISp,
518605181,0.883995183,0.7931446132508936,0.6868125416899616,0.0,2,RSPd,0.021380172000000003,0.0,0.269480981,VISp,
520615681,0.8607787459999999,0.8056341437290302,0.6995897155022254,100.0,1,ORBvl,0.020777372,0.0,0.542553764,SSp-tr,
521255975,0.815789662,0.7571905896026777,0.6512386423659312,100.0,1,RSPv,0.005848158000000001,0.0,0.449955224,ACAd,
