flat_x,top_x,flat_y,id,top_y
173.0,335.0,885.0,528328648.0,633.0
634.0,297.0,1090.0,515920693.0,914.0
359.0,724.0,875.0,112935169.0,548.0
1111.0,412.0,640.0,267749107.0,447.0
672.0,281.0,914.0,657334568.0,736.0
267.0,105.0,969.0,142654100.0,931.0
544.0,191.0,280.0,296048512.0,406.0
1051.0,569.0,592.0,286774770.0,398.0
944.0,488.0,581.0,168162771.0,382.0
1163.0,414.0,372.0,159511623.0,316.0
1112.0,424.0,306.0,126860974.0,305.0
467.0,204.0,1106.0,502956560.0,974.0
315.0,111.0,1029.0,648252402.0,956.0
768.0,438.0,1239.0,168164230.0,992.0
1086.0,425.0,694.0,139426984.0,507.0
841.0,403.0,223.0,170721670.0,302.0
730.0,416.0,1206.0,286836394.0,986.0
1112.0,410.0,593.0,299829892.0,396.0
646.0,260.0,919.0,299820770.0,748.0
608.0,248.0,995.0,539323512.0,832.0
866.0,458.0,932.0,573331541.0,712.0
599.0,192.0,670.0,126908007.0,538.0
1050.0,568.0,685.0,293432575.0,479.0
1124.0,424.0,564.0,294434161.0,376.0
1087.0,491.0,691.0,607321130.0,504.0
729.0,409.0,1193.0,519486602.0,979.0
846.0,389.0,165.0,298230624.0,323.0
613.0,283.0,1093.0,478257959.0,922.0
1082.0,569.0,943.0,616674416.0,711.0
590.0,279.0,1122.0,100147853.0,954.0
654.0,294.0,1032.0,159330030.0,854.0
249.0,53.0,821.0,521617657.0,814.0
692.0,306.0,960.0,656632388.0,775.0
447.0,182.0,1077.0,501785691.0,955.0
775.0,387.0,998.0,287225041.0,793.0
706.0,338.0,1037.0,501004474.0,846.0
651.0,267.0,935.0,540145406.0,762.0
384.0,126.0,464.0,180404418.0,520.0
416.0,99.0,653.0,257636467.0,594.0
971.0,455.0,157.0,526783792.0,261.0
610.0,274.0,1074.0,307557934.0,905.0
573.0,193.0,855.0,648253235.0,711.0
938.0,488.0,632.0,297892130.0,429.0
342.0,965.0,1083.0,112162251.0,520.0
631.0,281.0,1050.0,536299435.0,877.0
1057.0,569.0,724.0,607059419.0,510.0
757.0,415.0,1147.0,297627858.0,936.0
493.0,162.0,957.0,576684233.0,833.0
715.0,375.0,1131.0,523714193.0,932.0
778.0,443.0,1237.0,614094233.0,988.0
